country_of_origin,enwiki_title,genre,made_profit,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent
Q29,Orbiter 9,science fiction,0.0,,2017-04-07,3.1,41.0,60.0,5.5,60.0
United States of America,Eraserhead,drama film,1.0,English,1977-01-01,3.9,83.0,57175.0,8.3,91.0
United States of America,Dances with Wolves,drama film,1.0,English,1990-11-09,3.6,87.0,213360.0,7.5,82.0
United Kingdom,Inception,heist film,1.0,English,2010-07-08,4.2,91.0,568239.0,8.1,86.0
Q16,Mama (2013 film),horror film,1.0,English,2013-01-17,3.4,55.0,143566.0,6.0,65.0
United States of America,The Godfather,drama film,1.0,English,1972-03-15,4.4,98.0,731426.0,9.3,98.0
United States of America,Argo (2012 film),political thriller,1.0,English,2012-01-01,4.2,90.0,207900.0,8.4,96.0
United Kingdom,12 Years a Slave (film),drama film,1.0,English,2013-08-30,4.3,90.0,139374.0,8.9,96.0
United Kingdom,Only Lovers Left Alive,drama film,1.0,English,2013-05-25,3.8,75.0,21114.0,7.4,85.0
United States of America,The Hunger Games: Mockingjay â€“ Part 1,science fiction film,1.0,English,2014-11-20,3.8,71.0,246430.0,6.3,67.0
United States of America,Guardians of the Galaxy (film),action film,1.0,English,2014-07-31,4.4,92.0,252294.0,7.7,91.0
United States of America,Inside Out (2015 film),comedy film,1.0,English,2015-05-18,4.3,89.0,134802.0,8.9,98.0
United States of America,The Conjuring,horror film,1.0,English,2013-06-08,4.0,82.0,158000.0,7.2,86.0
United States of America,A Quiet Place (film),horror film,1.0,English,2018-04-06,4.2,84.0,15178.0,8.1,95.0
United States of America,The SpongeBob Movie: Sponge Out of Water,children's film,1.0,English,2015-01-01,3.3,54.0,51692.0,6.5,80.0
United States of America,August: Osage County (film),drama film,1.0,English,2013-09-09,3.5,65.0,39033.0,6.4,65.0
Q408,The Railway Man (film),war film,0.0,English,2013-01-01,3.6,68.0,15495.0,6.5,67.0
Germany,The Monuments Men,war film,1.0,English,2014-02-07,3.1,44.0,72826.0,5.2,30.0
United Kingdom,About Time (2013 film),science fiction film,1.0,German,2013-09-04,4.0,81.0,57099.0,6.3,68.0
Q408,The Rover (2014 film),post-apocalyptic film,0.0,English,2014-05-18,3.2,51.0,11563.0,6.4,66.0
United States of America,Free Birds,buddy film,1.0,English,2013-10-21,3.1,44.0,40030.0,4.2,19.0
United States of America,The Florida Project,drama film,1.0,English,2017-05-22,3.9,79.0,12103.0,8.7,96.0
United Kingdom,Murder on the Orient Express (2017 film),drama film,1.0,English,2017-11-09,3.4,55.0,23993.0,6.1,57.0
United States of America,All the Money in the World,biographical film,1.0,English,2017-01-01,3.5,67.0,5975.0,6.9,78.0
United States of America,Independence Day: Resurgence,science fiction film,1.0,English,2016-06-23,2.6,30.0,74746.0,4.3,30.0
United Kingdom,Amy (2015 film),documentary film,1.0,English,2015-06-11,4.1,87.0,22029.0,8.4,94.0
United Kingdom,Florence Foster Jenkins (film),biographical film,1.0,English,2016-01-01,3.6,68.0,16669.0,7.1,87.0
United States of America,Guardians of the Galaxy Vol. 2,superhero film,1.0,English,2017-04-25,4.2,88.0,105497.0,7.2,83.0
United States of America,Star Trek Beyond,science fiction film,1.0,English,2016-07-07,3.9,80.0,73794.0,7.0,85.0
United States of America,Hell or High Water (film),heist film,1.0,English,2016-01-01,4.1,88.0,38882.0,8.5,97.0
United States of America,Wonder Woman (2017 film),superhero film,1.0,English,2017-06-01,4.3,88.0,124232.0,7.6,92.0
United Kingdom,The Girl with All the Gifts (film),zombie film,0.0,English,2016-09-23,3.5,66.0,8798.0,7.1,84.0
United States of America,Jumanji: Welcome to the Jungle,adventure film,1.0,English,2017-12-20,4.3,88.0,36653.0,6.1,76.0
United States of America,Jack Reacher: Never Go Back,action film,1.0,English,2016-01-01,3.1,42.0,31443.0,5.2,37.0
United States of America,John Wick: Chapter 2,action film,1.0,English,2017-02-10,4.1,85.0,54183.0,7.2,89.0
United States of America,Get Out,horror film,1.0,English,2017-01-24,4.2,86.0,70587.0,8.3,99.0
United States of America,Only the Brave (2017 film),drama film,0.0,English,2017-09-22,4.3,91.0,12187.0,7.0,87.0
United States of America,Blair Witch (film),horror film,1.0,English,2016-09-16,2.6,31.0,12639.0,5.1,35.0
Italy,Call Me by Your Name (film),LGBT-related film,1.0,English,2017-01-01,4.3,85.0,13129.0,8.7,95.0
United States of America,Heist (2015 film),heist film,0.0,English,2015-01-01,3.1,41.0,1968.0,4.5,29.0
United Kingdom,"Hail, Caesar!",comedy film,1.0,English,2016-02-01,2.9,44.0,40380.0,7.2,85.0
United Kingdom,Spectre (2015 film),thriller film,1.0,English,2015-10-26,3.5,61.0,105323.0,6.4,63.0
Italy,Youth (2015 film),drama film,0.0,English,2015-01-01,3.6,68.0,11149.0,7.0,72.0
United States of America,Steve Jobs (film),biographical film,1.0,English,2015-01-01,3.7,73.0,42597.0,7.6,86.0
United States of America,Assassin's Creed (film),action film,1.0,English,2016-12-21,3.1,43.0,56908.0,4.0,18.0
United States of America,The Danish Girl (film),biographical film,1.0,English,2015-01-01,3.7,72.0,27103.0,6.6,68.0
Q27,Love & Friendship,romantic comedy,1.0,English,2016-05-13,3.5,60.0,20020.0,8.2,97.0
United States of America,Money Monster,drama film,1.0,English,2016-05-26,3.3,51.0,23493.0,6.0,57.0
United States of America,The Big Short (film),biographical film,1.0,English,2015-12-11,4.1,87.0,68198.0,7.8,88.0
United States of America,Sing (2016 American film),musical film,1.0,English,2016-09-11,3.8,73.0,38960.0,6.5,72.0
Q142,Valerian and the City of a Thousand Planets,science fiction film,1.0,English,2017-07-20,3.3,54.0,26926.0,5.5,49.0
United States of America,The Conjuring 2,horror film,1.0,English,2016-06-16,3.9,81.0,53586.0,6.7,79.0
United States of America,Soldier (1998 American film),action film,0.0,English,1998-01-01,2.8,43.0,44237.0,3.5,12.0
United States of America,Windtalkers,action film,0.0,English,2002-08-01,3.2,50.0,66807.0,5.2,32.0
United States of America,Katy Perry: Part of Me,documentary film,1.0,English,2012-06-26,3.8,72.0,47103.0,6.4,75.0
United States of America,The Romantics (film),romantic comedy,0.0,English,2010-01-01,2.5,21.0,14739.0,4.2,14.0
United States of America,The Stepford Wives (2004 film),science fiction film,1.0,English,2004-01-01,2.6,29.0,210650.0,4.7,26.0
Q408,Killer Elite (film),crime film,0.0,English,2011-09-23,3.1,42.0,32361.0,4.7,25.0
United Kingdom,You Will Meet a Tall Dark Stranger,drama film,1.0,English,2010-01-01,2.9,33.0,18851.0,5.4,45.0
United Kingdom,Centurion (film),action film,0.0,English,2010-01-01,3.1,42.0,47682.0,5.5,60.0
United States of America,Analyze That,comedy film,0.0,English,2002-01-01,2.9,39.0,190217.0,4.8,27.0
United Kingdom,The Importance of Being Earnest (2002 film),romantic comedy,1.0,English,2002-05-17,3.4,72.0,32105.0,6.0,57.0
United States of America,The Hole (2009 film),horror film,0.0,English,2009-01-01,3.2,46.0,14687.0,6.4,81.0
United States of America,Before Midnight (film),romance film,1.0,English,2013-01-20,4.0,82.0,37036.0,8.7,98.0
United States of America,Allied (film),Romantic thriller,1.0,English,2016-11-13,3.5,64.0,24995.0,6.2,59.0
United States of America,Logan Lucky,comedy film,1.0,Q7976,2017-08-18,3.7,75.0,26624.0,7.5,93.0
United States of America,Sherlock Gnomes,animated film,0.0,English,2018-03-23,2.7,39.0,1292.0,4.6,29.0
United States of America,Fences (film),drama film,1.0,English,2016-12-25,3.8,75.0,35854.0,7.7,94.0
United States of America,It (2017 film),horror film,1.0,English,2017-09-07,4.1,84.0,63902.0,7.2,85.0
United Kingdom,Fantastic Beasts and Where to Find Them (film),fantasy film,1.0,English,2016-11-17,3.9,79.0,86209.0,6.9,74.0
United States of America,Doctor Strange (2016 film),superhero film,1.0,English,2016-07-08,4.1,86.0,106940.0,7.3,89.0
United States of America,Ben-Hur (2016 film),epic film,0.0,English,2016-08-25,3.3,53.0,18897.0,4.6,25.0
United States of America,Silence (2016 film),film based on literature,0.0,English,2016-12-22,3.6,69.0,24799.0,7.6,84.0
United States of America,The Accountant (2016 film),thriller film,1.0,English,2016-10-10,3.9,76.0,46130.0,5.7,52.0
United States of America,The Witch (2015 film),horror film,1.0,English,2015-01-01,3.2,57.0,40013.0,7.8,91.0
United States of America,Joy (film),biographical film,1.0,English,2015-01-01,3.4,57.0,46285.0,6.2,59.0
United States of America,Miss Peregrine's Home for Peculiar Children (film),adventure film,1.0,English,2016-10-06,3.5,60.0,38459.0,5.9,63.0
United States of America,Rogue One,space opera,1.0,English,2016-12-10,4.2,87.0,99786.0,7.5,85.0
United States of America,The BFG (2016 film),adventure film,0.0,English,2016-07-01,3.4,57.0,37747.0,6.8,75.0
United States of America,Deepwater Horizon (film),drama film,0.0,English,2016-01-01,3.9,82.0,45727.0,7.0,83.0
United States of America,Me Before You (film),drama film,1.0,English,2016-06-22,3.8,73.0,30191.0,5.6,56.0
United States of America,Frankenweenie (2012 film),horror film,1.0,English,2012-01-01,3.7,70.0,67473.0,7.5,87.0
